timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925504.087268,0.364425,0.170877,-0.297011,5.034819,0.712769,-5.521577,0.351221,-0.170047,-0.920721,0.587204,1.115866,1.433930
1482925504.106586,0.381458,0.216639,-0.431349,4.847093,-1.380570,-5.582253,0.363572,-0.214949,-0.906428,0.786333,0.695777,1.392734
1482925504.125873,0.368514,0.268489,-0.571968,5.217690,-2.724160,-5.500084,0.347323,-0.265275,-0.899442,0.651178,0.539938,1.233086
1482925504.145191,0.362662,0.326420,-0.712802,5.380754,-2.034372,-5.465756,0.336031,-0.320654,-0.885587,0.354394,0.381097,1.060816
1482925504.164508,0.391751,0.390516,-0.856167,5.607065,-0.690439,-5.111190,0.353062,-0.380665,-0.854659,0.277068,0.395139,1.254241
1482925504.183795,0.430517,0.438401,-0.999293,4.482561,-1.320748,-5.380635,0.377873,-0.424492,-0.822811,0.283427,0.176469,1.502758
1482925504.203113,0.461612,0.449107,-1.138230,2.665640,-1.329563,-5.667677,0.401225,-0.434161,-0.806550,0.042224,0.003138,1.654972
1482925504.222431,0.512039,0.437680,-1.261569,2.098231,0.772909,-5.096307,0.443771,-0.423840,-0.789574,-0.272723,0.053057,1.571142
1482925504.241718,0.602439,0.434240,-1.367682,2.733595,3.201779,-3.875936,0.514062,-0.420722,-0.747485,-0.290249,0.240808,1.362029
1482925504.261035,0.710421,0.437670,-1.460175,2.560946,3.499139,-3.122131,0.590682,-0.423830,-0.686632,-0.200455,0.037470,1.454814
1482925504.280353,0.800018,0.423351,-1.532827,1.386871,2.858700,-2.927433,0.654037,-0.410818,-0.635188,-0.223141,-0.223426,1.674062
1482925504.299640,0.881620,0.398653,-1.585264,0.910459,3.460593,-2.388540,0.711251,-0.388177,-0.586038,-0.242332,-0.116710,1.513553
1482925504.318958,0.976612,0.385277,-1.631610,1.778116,4.206314,-1.529113,0.767864,-0.375816,-0.518794,-0.145615,0.154430,1.186268
1482925504.338275,1.078114,0.390529,-1.685042,2.527131,4.124994,-0.863797,0.814730,-0.380677,-0.437379,-0.059296,0.264340,0.965134
1482925504.357562,1.172349,0.397555,-1.733079,1.892283,3.783236,-0.568781,0.849784,-0.387165,-0.357729,-0.087765,0.152321,0.875992
1482925504.376880,1.254395,0.397880,-1.762625,1.028631,3.682151,-0.480481,0.876123,-0.387465,-0.286843,-0.107517,0.066741,0.806130
1482925504.396198,1.329656,0.389974,-1.774411,0.012273,3.448864,-0.607063,0.898158,-0.380164,-0.220880,0.068873,0.001671,0.680183
1482925504.415485,1.375785,0.373909,-1.763153,-1.168273,2.103661,-0.760232,0.913262,-0.365257,-0.180389,0.281882,0.044559,0.475713
1482925504.434802,1.392022,0.354089,-1.730860,-1.956939,1.135495,-0.636261,0.923014,-0.346736,-0.166792,0.309912,0.157079,0.180067
1482925504.454120,1.406123,0.342305,-1.695119,-1.582704,1.720029,-0.011736,0.929240,-0.335659,-0.154419,0.378410,0.382135,-0.139779
1482925504.473407,1.436244,0.345793,-1.679476,-0.274530,1.586958,0.311688,0.932303,-0.338943,-0.126207,0.718325,0.534654,-0.172083
1482925504.492725,1.446995,0.347866,-1.667401,-1.030263,0.186424,0.114428,0.932907,-0.340892,-0.116088,1.005459,0.331758,0.056067
1482925504.512042,1.421614,0.340775,-1.628312,-2.403676,-0.986036,-0.268154,0.932027,-0.334218,-0.140083,0.934866,0.214620,0.187557
1482925504.531329,1.381283,0.320463,-1.572632,-3.102327,-1.179607,-0.801187,0.932097,-0.315006,-0.178791,0.741476,0.154294,0.317412
1482925504.550647,1.329590,0.283256,-1.509344,-3.574893,-2.183198,-1.368147,0.932354,-0.279483,-0.229355,0.651707,0.171703,0.596652
1482925504.569965,1.266351,0.239019,-1.451420,-3.241124,-2.296833,-1.338615,0.926891,-0.236750,-0.291242,0.628081,0.181774,0.535274
1482925504.589252,1.225175,0.195733,-1.405976,-2.653494,-1.560275,-1.550527,0.922900,-0.194486,-0.332312,0.957712,0.167907,0.310128
