timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925534.588952,2.323957,0.089692,-1.906545,-1.554746,-0.586832,-0.510827,0.726598,-0.089572,0.681199,0.413615,-0.318767,-1.013295
1482925534.608270,2.302641,0.107632,-1.869767,-2.319240,-1.169096,-0.718518,0.739638,-0.107425,0.664376,-0.019453,-0.435241,-0.844962
1482925534.627557,2.266406,0.129161,-1.817681,-3.065929,-1.730527,-1.034359,0.761269,-0.128802,0.635515,-0.292932,-0.385755,-0.746362
1482925534.646874,2.220042,0.155721,-1.750228,-3.884327,-2.004813,-1.026974,0.786902,-0.155093,0.597270,-0.327926,-0.186171,-0.851341
1482925534.666192,2.162159,0.194522,-1.676165,-4.329086,-2.561648,-0.243073,0.814525,-0.193298,0.546978,-0.142214,0.117844,-1.113487
1482925534.685479,2.092359,0.241337,-1.606655,-4.191587,-2.942105,0.498457,0.841914,-0.239001,0.483797,0.056536,0.442637,-1.514798
1482925534.704797,2.020986,0.293936,-1.537100,-4.509341,-2.562160,0.891028,0.861748,-0.289722,0.416474,-0.005571,0.585782,-1.561038
1482925534.724114,1.949972,0.350103,-1.454695,-5.030411,-2.220917,1.071511,0.872616,-0.342994,0.347701,-0.127579,0.606050,-1.317285
1482925534.743401,1.870454,0.397950,-1.360219,-5.199880,-2.500514,0.680626,0.880777,-0.387529,0.272126,-0.061017,0.593010,-1.138883
1482925534.762719,1.772489,0.434983,-1.260299,-4.919214,-3.264148,0.715475,0.888494,-0.421395,0.181673,0.088890,0.725859,-1.166706
1482925534.782037,1.659134,0.465144,-1.164475,-4.525220,-3.905970,0.996972,0.890272,-0.448552,0.078850,0.070739,0.732978,-1.248115
1482925534.801324,1.536918,0.489834,-1.062130,-5.003195,-3.849910,1.296287,0.881905,-0.470479,-0.029889,-0.084743,0.688125,-1.093594
1482925534.820641,1.404620,0.507931,-0.936802,-5.874369,-3.626799,1.623152,0.861716,-0.486371,-0.144530,-0.208779,0.762861,-0.729852
1482925534.839959,1.273078,0.516149,-0.803498,-5.394668,-3.337826,1.831314,0.831466,-0.493534,-0.255125,-0.192774,0.936044,-0.707423
1482925534.859277,1.158227,0.516359,-0.697388,-4.022246,-3.186670,1.558619,0.796656,-0.493717,-0.348687,-0.182822,1.348646,-0.793206
1482925534.878564,1.058454,0.514536,-0.611604,-3.203748,-2.782997,1.659696,0.758745,-0.492131,-0.426747,-0.314773,1.663777,-0.894566
1482925534.897881,0.984739,0.510928,-0.543922,-2.414330,-1.621839,1.321921,0.726730,-0.488987,-0.482447,-0.456581,1.569120,-0.937765
1482925534.917199,0.944221,0.508070,-0.495248,-1.535033,-0.494441,0.944320,0.707720,-0.486492,-0.512306,-0.443984,1.372895,-0.894057
1482925534.936486,0.924677,0.502074,-0.466538,-1.116403,-0.193693,0.348713,0.699890,-0.481244,-0.527786,-0.437816,1.230431,-0.779657
